STREAM COPY
Array size: 76.29 MB
Sample size: 1000
Sample data (cycle count):
stream 32703589
stream 32696728
stream 32599753
stream 32630836
stream 32540407
stream 32604553
stream 32546673
stream 32680753
stream 32549099
stream 32639793
stream 32638159
stream 32629141
stream 32636974
stream 32594529
stream 32640908
stream 32540758
stream 32685580
stream 32568777
stream 32640271
stream 32522149
stream 32648756
stream 32652142
stream 32592000
stream 32646141
stream 32600780
stream 32648887
stream 32641259
stream 32644574
stream 32579459
stream 32678220
stream 32566708
stream 32643370
stream 32586271
stream 32573763
stream 32644480
stream 32573303
stream 32652188
stream 32532650
stream 32634962
stream 32625810
stream 32660050
stream 32612388
stream 32605794
stream 32634274
stream 32704494
stream 32694183
stream 32563675
stream 32640939
stream 32691418
stream 32660008
stream 32616728
stream 32681018
stream 32684364
stream 32603855
stream 32558698
stream 32562423
stream 32599257
stream 32585027
stream 32696204
stream 32597915
stream 32769185
stream 32617173
stream 32587274
stream 32637410
stream 32641189
stream 32611812
stream 32619444
stream 32629727
stream 32628044
stream 32654762
stream 32568244
stream 32624795
stream 32728701
stream 32629860
stream 32662122
stream 32584750
stream 32666081
stream 32605968
stream 32694032
stream 32574583
stream 32638202
stream 32585268
stream 32670894
stream 32677961
stream 32630120
stream 32654933
stream 32569554
stream 32701467
stream 32649112
stream 32631576
stream 32577063
stream 32664503
stream 32693108
stream 32614074
stream 32660700
stream 32622711
stream 32640713
stream 32591863
stream 32637129
stream 32602490
stream 32681786
stream 32610298
stream 32711040
stream 32698319
stream 32633329
stream 32696357
stream 32639055
stream 32680427
stream 32581242
stream 32662982
stream 32587958
stream 32639189
stream 32596282
stream 32632990
stream 32677839
stream 32632250
stream 32751108
stream 32702735
stream 32855320
stream 32572142
stream 32670022
stream 32667331
stream 32704356
stream 32623917
stream 32578517
stream 32619069
stream 32494409
stream 32639131
stream 32579191
stream 32635392
stream 32583683
stream 32673999
stream 32678302
stream 32631348
stream 32642213
stream 32562185
stream 32602398
stream 32575110
stream 32597906
stream 32609189
stream 32633088
stream 32632555
stream 32685352
stream 32633554
stream 32639019
stream 32670966
stream 32612593
stream 32677120
stream 32693103
stream 32677205
stream 32640366
stream 32642365
stream 32671025
stream 32654568
stream 32723127
stream 32653013
stream 32613126
stream 32635675
stream 32636568
stream 32587684
stream 32660452
stream 32632244
stream 32608496
stream 32626676
stream 32616448
stream 32649146
stream 32622263
stream 32624009
stream 32633999
stream 32743115
stream 32659539
stream 32677632
stream 47427545
stream 38461600
stream 37609880
stream 36873080
stream 36099516
stream 35485402
stream 34926477
stream 34347831
stream 33842013
stream 33442599
stream 32965499
stream 32696799
stream 32592390
stream 32687976
stream 32697487
stream 32656732
stream 32716337
stream 32609100
stream 32653583
stream 32621955
stream 32678568
stream 33020331
stream 32731383
stream 32723368
stream 32650027
stream 32693834
stream 32640341
stream 32709367
stream 32605608
stream 32691590
stream 32599927
stream 32689109
stream 32682026
stream 32599729
stream 32642816
stream 32602901
stream 32693608
stream 32599729
stream 32703942
stream 32564709
stream 32706173
stream 32650865
stream 32578856
stream 32661928
stream 32597666
stream 32644593
stream 32676920
stream 32664823
stream 32573992
stream 32657006
stream 32591223
stream 32655851
stream 32686324
stream 32650850
stream 32630741
stream 32632862
stream 32671680
stream 32619456
stream 32675093
stream 32609466
stream 32642560
stream 32661266
stream 32601222
stream 32699508
stream 32636650
stream 32773227
stream 32605546
stream 32673591
stream 32609862
stream 32669132
stream 32611593
stream 32636827
stream 32688009
stream 32670762
stream 32672448
